Date,Close,High,Low,Open,Volume
1980-12-12,0.09829749912023544,0.09872485583343898,0.09829749912023544,0.09829749912023544,469033600
1980-12-15,0.09316929429769516,0.09359665117507626,0.09316929429769516,0.09359665117507626,175884800
1980-12-16,0.0863308385014534,0.0867581895401009,0.0863308385014534,0.0867581895401009,105728000
1980-12-17,0.08846759051084518,0.08889494718513828,0.08846759051084518,0.08846759051084518,86441600
1980-12-18,0.0910324677824974,0.09145981867558887,0.0910324677824974,0.0910324677824974,73449600
1980-12-19,0.09658810496330261,0.09701546177067592,0.09658810496330261,0.09658810496330261,48630400
1980-12-22,0.10128901153802872,0.10171713298933169,0.10128901153802872,0.10128901153802872,37363200
1980-12-23,0.10556323826313019,0.10599059479838058,0.10556323826313019,0.10556323826313019,46950400
1980-12-24,0.11111890524625778,0.11154626203634711,0.11111890524625778,0.11111890524625778,48003200
1980-12-26,0.12137611955404282,0.1218034761863759,0.12137611955404282,0.12137611955404282,55574400
1980-12-29,0.123085618019104,0.12351297494082393,0.123085618019104,0.123085618019104,93161600
1980-12-30,0.12009404599666595,0.12052139116305782,0.12009404599666595,0.12052139116305782,68880000
1980-12-31,0.11667526513338089,0.11710262189134059,0.11667526513338089,0.11710262189134059,35750400
1981-01-02,0.11795732378959656,0.11881203730402796,0.11795732378959656,0.11795732378959656,21660800
1981-01-05,0.11539316177368164,0.11582050695453806,0.11539316177368164,0.11582050695453806,35728000
1981-01-06,0.11026415973901749,0.1106915164053654,0.11026415973901747,0.1106915164053654,45158400
1981-01-07,0.10556323826313019,0.10599059479838058,0.10556323826313019,0.10599059479838058,55686400
1981-01-08,0.10342653095722198,0.10385387629728106,0.103426530957222,0.10385387629728106,39827200
1981-01-09,0.1089821308851242,0.10940948766806494,0.1089821308851242,0.1089821308851242,21504000
1981-01-12,0.1081274226307869,0.10898212473613407,0.1081274226307869,0.10898212473613407,23699200
1981-01-13,0.1042812317609787,0.10470858850806611,0.1042812317609787,0.10470858850806611,23049600
1981-01-14,0.10470856726169586,0.10513592392206851,0.10470856726169586,0.10470856726169586,14291200
1981-01-15,0.10684537142515182,0.10770007359176295,0.10684537142515182,0.10684537142515182,14067200
1981-01-16,0.10599061101675034,0.10641796761739358,0.10599061101675034,0.10641796761739358,13395200
1981-01-19,0.11240094155073166,0.11282829825469076,0.11240094155073166,0.11240094155073166,41574400
1981-01-20,0.1089821308851242,0.10940948766806494,0.1089821308851242,0.10940948766806494,30083200
1981-01-21,0.11111890524625778,0.11197360741412599,0.11111890524625778,0.11111890524625778,15904000
1981-01-22,0.11240094155073166,0.11325565495864988,0.11240094155073166,0.11240094155073166,35548800
1981-01-23,0.11197357624769211,0.11282828958997207,0.11197357624769211,0.11240093291883209,11222400
1981-01-26,0.11026415973901749,0.1106915164053654,0.11026415973901747,0.1106915164053654,24640000
1981-01-27,0.10940948873758316,0.11026419089950937,0.10940948873758316,0.11026419089950937,23699200
1981-01-28,0.10599061101675034,0.10641796761739358,0.10599061101675034,0.10641796761739358,28156800
1981-01-29,0.10214447230100632,0.10257182910191119,0.10214447230100632,0.10257182910191119,43904000
1981-01-30,0.09658810496330261,0.09744281857804923,0.09658810496330261,0.09744281857804923,46188800
1981-02-02,0.0910324677824974,0.09145981867558887,0.0910324677824974,0.09145981867558887,23766400
1981-02-03,0.09445129334926605,0.09487864422243779,0.09445129334926605,0.09445129334926605,19152000
1981-02-04,0.09787016361951828,0.0982975089632054,0.09787016361951828,0.09787016361951828,27865600
1981-02-05,0.09787016361951828,0.09872486571920208,0.09787016361951828,0.09787016361951828,7929600
1981-02-06,0.09829749912023544,0.09872485583343898,0.09829749912023544,0.09829749912023544,13865600
1981-02-09,0.09316929429769516,0.09402400234630098,0.09316929429769516,0.09402400234630098,16755200
1981-02-10,0.09316929429769516,0.09359665117507626,0.09316929429769516,0.09316929429769516,18345600
1981-02-11,0.09017779678106308,0.09060514784708432,0.09017779678106308,0.09060514784708432,13843200
1981-02-12,0.08932230621576309,0.0897504275532938,0.08932230621576309,0.0897504275532938,14560000
1981-02-13,0.08718550950288773,0.08804021692575148,0.08718550950288773,0.08804021692575148,11155200
1981-02-17,0.08932230621576309,0.0897504275532938,0.08932230621576309,0.08932230621576309,12275200
